user_id,country,signup_date
1,Germany,2023-08-07
2,Canada,2023-01-25
3,UK,2023-03-24
4,Canada,2023-09-14
5,Canada,2023-10-31
6,USA,2023-08-15
7,UK,2024-02-01
8,UK,2023-02-10
9,UK,2023-11-03
10,Unknown,2023-12-16
11,Germany,2023-11-29
12,UK,2023-06-03
13,,2023-11-16
14,Canada,2023-01-19
15,USA,2023-07-02
16,Germany,2023-05-28
17,,2023-09-17
18,,2023-10-24
19,USA,2023-06-25
20,Unknown,2023-02-26
21,Canada,2023-07-28
22,India,2023-12-02
23,Germany,2023-03-22
24,USA,2023-09-21
25,,2024-01-29
26,Canada,2023-06-04
27,Germany,2023-08-23
28,India,2023-02-19
29,India,2023-06-17
30,Unknown,2023-04-20
31,UK,2023-04-26
32,USA,2023-01-09
33,Germany,2023-10-04
34,Germany,2023-02-16
35,,2023-05-24
36,,2023-12-22
37,,2023-05-22
38,UK,2023-03-23
39,Germany,2023-05-16
40,Unknown,2024-01-12
41,India,2024-02-03
42,UK,2023-05-22
43,Canada,2023-08-15
44,UK,2023-02-02
45,Canada,2023-03-31
46,India,2023-06-04
47,USA,2023-07-19
48,Germany,2023-03-19
49,India,2023-11-04
50,Unknown,2023-12-04
51,,2023-07-08
52,USA,2023-12-07
53,USA,2024-01-03
54,India,2023-10-23
55,USA,2023-05-04
56,Canada,2024-01-09
57,USA,2023-01-20
58,Germany,2023-04-26
59,Germany,2023-02-03
60,Unknown,2023-10-11
61,Germany,2023-03-21
62,Canada,2023-12-15
63,UK,2023-12-14
64,,2023-09-15
65,India,2023-11-24
66,Germany,2023-06-08
67,USA,2024-01-07
68,Germany,2023-02-07
69,USA,2023-10-15
70,Unknown,2023-05-20
71,,2023-06-03
72,,2023-11-22
73,USA,2023-05-28
74,Germany,2023-06-10
75,,2023-02-20
76,Canada,2023-01-20
77,USA,2023-10-20
78,USA,2023-01-10
79,Germany,2023-04-09
80,Unknown,2024-01-17
81,USA,2023-08-20
82,,2023-02-13
83,Germany,2023-08-17
84,,2023-06-20
85,,2023-05-03
86,Germany,2023-09-17
87,India,2023-03-30
88,,2023-07-08
89,Canada,2023-11-13
90,Unknown,2023-04-12
91,USA,2023-12-01
92,Canada,2024-01-04
93,USA,2023-08-25
94,India,2023-06-23
95,Germany,2023-05-26
96,Germany,2023-02-22
97,Germany,2023-09-26
98,Canada,2023-07-07
99,India,2023-11-11
100,Unknown,2023-08-05
101,Canada,2023-06-10
102,India,2023-07-17
103,India,2023-07-16
104,India,2023-06-19
105,India,2023-09-30
106,Germany,2023-07-22
107,UK,2024-01-09
108,UK,2023-08-20
109,India,2023-02-14
110,Unknown,2023-12-12
111,UK,2023-06-23
112,India,2023-07-06
113,UK,2024-01-29
114,Canada,2023-03-19
115,USA,2023-05-29
116,USA,2023-07-06
117,India,2023-01-03
118,Germany,2024-01-20
119,India,2023-02-17
120,Unknown,2023-11-13
1001,Germany,2023-08-07
1002,Canada,2023-01-25
1003,UK,2023-03-24
1004,Canada,2023-09-14
1005,Canada,2023-10-31
